Company_Name,Leaders,No_of_Employee,Funding Type,Yr,Software Type,Industry,Category,Size,Website,LinkedIn,Address
In-Quiz-It Software,Bruce Achterman,11-50 employees,Self-funded,Founded: 1993,B2B SaaS,Food,Compliance,Small,inquizitsoftware.com,https://www.linkedin.com/company/in-quiz-it-software/about/,"DeSoto, TX"
GoodieBoxx,Maxie Taylor,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,Retail,Automation,Startup,goodieboxx.com,https://www.linkedin.com/company/goodieboxx/about/,"3102 Oak Lawn Ave, Dallas, Texas 75219, US"
Google,Lorraine Twohill,"10,001+ employees",Public,Founded: 1998,B2B SaaS,Horizontal,Analytics and BI,Large,about.google,https://www.linkedin.com/company/google/about/,"6175 Main Street, Frisco, TX 75034"
GPS Trackit,Keith Schneider,51-200 employees,Acquired,Founded: 2002,B2B SaaS,Horizontal,Logistics and Supply Chain,Medium,gpstrackit.com,https://www.linkedin.com/company/gpstrackit/about/,"3051 Churchill Dr, Suite 116, Flower Mound, Texas 75022, US"
Gradient Cyber,Steven Chappell,11-50 employees,Other,Founded: 2016,B2B SaaS,Horizontal,Cybersecurity,Small,gradientcyber.com,https://www.linkedin.com/company/gradientcyber/about/,"16400 N. Dallas Pkwy, Suite 105, Dallas TX 75248"
Grata,Patrick Brandt,11-50 employees,Angel or Seed Funding,Founded: 2020,B2B SaaS,Horizontal,HR and Recruiting,Small,gratapro.com,https://www.linkedin.com/company/gratapro/about/,"3201 Dallas Pkwy, Dallas, Texas 75034, US"
GrayMatter Software Services,Vikas Gupta,201-500 employees,Self-funded,Founded: 2006,B2B SaaS,Horizontal,Analytics and BI,Medium,www.graymatter.co.in,https://www.linkedin.com/company/graymatter-software-services-pvt-ltd/about/,"15305 North Dallas Parkway, Suite 300 Addison, Dallas, Texas 75001"
GreyCampus,Vijay Pasupulati,51-200 employees,Acquired,Founded: 2014,B2B SaaS,Horizontal,Marketplace,Medium,www.greycampus.com,https://www.linkedin.com/company/greycampus/about/,"7924 Preston Rd., Ste 350, Plano TX 75024"
GroupRaise,Devin Baptiste,11-50 employees,Other,Founded: 2011,B2B SaaS,Non-Profit,Sales and Marketing,Small,www.groupraise.com,https://www.linkedin.com/company/groupraise.com/about/,"Dallas, TX"
GruupMeet,Russell Wyman,1-10 employees,Angel or Seed Funding,Founded: 2014,B2B SaaS,Horizontal,Sales and Marketing,Startup,www.gruupmeet.com,https://www.linkedin.com/company/gruupmeet/about/,"9540 Garland Rd #381, Dallas, TX 75218"
HacWare,Tiffany Ricks,11-50 employees,Angel or Seed Funding,Founded: 2019,B2B SaaS,Horizontal,Cybersecurity,Small,hacware.com,https://www.linkedin.com/company/hacware/about/,"14180 North Dallas Parkway, Suite 210, Dallas, Texas 75254"
Halo Health Systems,Veer Mehta,11-50 employees,Self-funded,Founded: 2016,B2B SaaS,Healthcare,Practice Management,Small,halohealth.io,https://www.linkedin.com/company/halo-health-systems/about/,"7950 Legacy Drive Suite 400-208, Plano, TX 75024"
Harris Govern,Robert Wood,51-200 employees,Self-funded,Founded: 1975,B2G,Government,Practice Management,Medium,www.harrisgovern.com,https://www.linkedin.com/company/harris-govern/about/,"760 N. Watters Road, Suite 100, Allen, TX 75013"
Harvest Returns,Chris Rawley,1-10 employees,Angel or Seed Funding,Founded: 2016,B2B SaaS,Agriculture,Marketplace,Startup,www.harvestreturns.com,https://www.linkedin.com/company/harvest-returns/about/,"5049 Edwards Ranch Rd, Fort Worth, Texas 76109"
HAWK Defense,David Harris,11-50 employees,Self-funded,Founded: 2008,B2B SaaS,Horizontal,Cybersecurity,Small,www.hawkdefense.com,https://www.linkedin.com/company/hawk-network-defense/about/,"4131 N Central Expressway, Suite 900, Dallas, Texas 75205"
HBS Systems,Chad Stone,51-200 employees,Self-funded,Founded: 1985,B2B SaaS,Automotive,Business Mgt and ERP,Medium,www.hbssystems.com,https://www.linkedin.com/company/hbs-systems/about/,"3400 Waterview Parkway, Richardson, TX 75080"
HeartFlow,John Farquhar,201-500 employees,VC-funded,Founded: 2007,B2B SaaS,Healthcare,Clinical,Medium,www.heartflow.com,https://www.linkedin.com/company/heartflow-inc/about/,"Dallas, TX"
Hedera Hashgraph,Mance Harmon,51-200 employees,VC-funded,Founded: 2018,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.hedera.com,https://www.linkedin.com/company/hashgraph/about/,"3400 N Central Expy, 470, Richardson, Texas 75080"
Highline,Geoff Brown,11-50 employees,VC-funded,Founded: 2020,B2B SaaS,Horizontal,Accounting and Finance,Small,highline.co,https://www.linkedin.com/company/highlineco/about/,"Dallas, TX"
HiOperator,Elizabeth Tsai,51-200 employees,Angel or Seed Funding,Founded: 2016,B2B SaaS,Horizontal,Communications,Medium,hioperator.com,https://www.linkedin.com/company/hioperator/about/,"Dallas, TX"
Hitachi Vantara,Gajen Kandiah,5001-10000 employees,Self-funded,Founded: 2017,B2B SaaS,Horizontal,Document Management,Large,www.hitachivantara.com,https://www.linkedin.com/company/hitachi-vantara/about/,"Dallas, TX"
HMS,Melissa Humphrey,1001-5000 employees,Acquired,Founded: 1974,B2B SaaS,Healthcare,Analytics and BI,Large,www.hms.com,https://www.linkedin.com/company/hmshealthcare/about/,"5615 High Point Dr., Irving, Texas 75038"
Homecare Homebase,Scott Decker,501-1000 employees,VC-funded,Founded: 2001,B2B SaaS,Healthcare,Practice Management,Large,www.hchb.com,https://www.linkedin.com/company/homecare-homebase/about/,"6688 N. Central Expressway, Ste. 800, Dallas, TX 75206"
Honeycomb.be,D'Arcy Young,1-10 employees,Self-funded,Founded: 2018,B2B SaaS,Real Estate & Property Mgt.,Communications,Startup,honeycomb.be,https://www.linkedin.com/company/honeycomb-application/about/,"123 Manufacturing St, Dallas, Texas 75207, US"
Hoops HR,Bill Carroll,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,HR and Recruiting,Small,www.hoopshr.com,https://www.linkedin.com/company/hoops/about/,"5830 Granite Pkwy, Suite 100, Plano, TX 75024"
HotelKey,Fareed Ahmad,201-500 employees,Self-funded,Founded: 2014,B2B SaaS,"Entertainment, Hospitality, Travel",Business Mgt and ERP,Medium,www.hotelkeyapp.com,https://www.linkedin.com/company/hotelkey-india/about/,"4100 Midway Road #1040, Carrollton, TX 75007"
HR Virtuoso,Liz D'Aloia,1-10 employees,Self-funded,Founded: 2013,B2B SaaS,Horizontal,HR and Recruiting,Startup,www.hrvirtuoso.com,https://www.linkedin.com/company/hr-virtuoso-company/about/,"Dallas, TX"
Hypergiant,Mike Betzer,51-200 employees,VC-funded,Founded: 2018,B2B SaaS,Horizontal,AI and Machine Learning,Medium,www.hypergiant.com,https://www.linkedin.com/company/hypergiant/about/,"5350 Alpha Road, Dallas, TX 75240"
HyperLift,Mick Twomey,11-50 employees,Self-funded,Founded: 2017,B2B SaaS,Healthcare,Practice Management,Small,www.hyperlift.com,https://www.linkedin.com/company/hyperliftstars/about/,"5301 Alpha Rd., Suite 80, Dallas, TX 75240"
Hyphen Solutions,Felix Vasquez,51-200 employees,Private Equity funding,Founded: 1999,B2B SaaS,Construction,Business Mgt and ERP,Medium,www.hyphensolutions.com,https://www.linkedin.com/company/hyphen-solutions/about/,"1507 LBJ Freeway, #300, Farmers Branch, Texas 75234"
IBM,Arvind Krishna,"10,001+ employees",Public,Founded: 1911,B2B SaaS,Horizontal,IT Mgt,Large,www.ibm.com,https://www.linkedin.com/company/ibm/about/,"1000 Belleview St, Dallas, TX 75215, US"
ID90 Travel,Mike Stacy,51-200 employees,VC-funded,Founded: 2011,B2B SaaS,"Entertainment, Hospitality, Travel",On-Demand Services,Medium,www.id90travel.com,https://www.linkedin.com/company/id90/about/,"925 South Kimball Ave, Suite 140, Southlake, TX 76092"
iDonate,Raymond Gary,11-50 employees,VC-funded,Founded: 2010,B2B SaaS,Non-Profit,Sales and Marketing,Small,idonate.com,https://www.linkedin.com/company/idonate-com/about/,"5960 Berkshire Ln, 6th Floor, Dallas, Texas 75225, US"
Illumio,Andrew Rubin,501-1000 employees,VC-funded,Founded: 2013,B2B SaaS,Horizontal,Cybersecurity,Large,www.illumio.com,https://www.linkedin.com/company/illumio/about/,"Dallas, TX"
ImageVision,Venkata Gutta,51-200 employees,Self-funded,Founded: 2020,B2B SaaS,Horizontal,Cybersecurity,Medium,imagevision.ai,https://www.linkedin.com/company/imagevision-ai/about/,"5055 Keller Springs Rd Suite 160 Addison, TX 75001"
Imaginuity,Taylor Calise,51-200 employees,Acquired,Founded: 1997,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.imaginuity.com,https://www.linkedin.com/company/imaginuity-interactive/about/,"1201 Main St Suite 1800, Dallas, TX 75202"
In-Quiz-It Software,Bruce Achterman,11-50 employees,Self-funded,Founded: 1993,B2B SaaS,Food,Compliance,Small,inquizitsoftware.com,https://www.linkedin.com/company/in-quiz-it-software/about/,"DeSoto, TX"
Inbound Technologies,Todd Williamson,11-50 employees,Self-funded,Founded: 1989,B2B SaaS,Horizontal,Logistics and Supply Chain,Small,inboundtechnologies.com,https://www.linkedin.com/company/in-quiz-it-software/about/,"2323 Bryan St, Dallas, Texas 75201, US"
Infor CRM,Kevin Samuelson,"10,001+ employees",Acquired,Founded: 2002,B2B SaaS,Horizontal,Sales and Marketing,Large,www.infor.com,https://www.linkedin.com/company/infor/about/,"14555 Dallas Parkway, Suite 200, Dallas, TX 75254"
Informatica,Amit Walia,5001-10000 employees,Public,Founded: 1993,B2B SaaS,Horizontal,Analytics and BI,Large,www.informatica.com,https://www.linkedin.com/company/informatica/about/,"5830 Granite Parkway, Suite 200, Plano, TX 75024"
Injala,Hyder Naqvi,51-200 employees,Self-funded,Founded: 2005,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,www.injala.com,https://www.linkedin.com/company/injala/about/,"100 Decker Ct, Suite 180 Irving, TX 75062"
Innovative Business Software,Jens Kolind,11-50 employees,Self-funded,Founded: 1981,B2B SaaS,Real Estate & Property Mgt.,Communications,Small,www.ibsoft-us.com,https://www.linkedin.com/company/innovative-business-software-p-l/about/,"1320 Greenway Drive, Irving, Texas 75038,"
Insala,Taito Nakagawa,11-50 employees,VC-funded,Founded: 1996,B2B SaaS,Horizontal,HR and Recruiting,Small,www.insala.com,https://www.linkedin.com/company/insala/about/,"2100 N. Greenville Ave, Suite 400, Richardson, Texas 75082, US"
Insight Software,Michael S Lipps,51-200 employees,Acquired,Founded: 1996,B2B SaaS,Horizontal,Accounting and Finance,Medium,insightsoftware.com,https://www.linkedin.com/company/biznetsoftware/about/,"14755 Preston Road #800, Dallas, Texas"
Inspirus,Tatiana Frierson,51-200 employees,Acquired,Founded: 1893,B2B SaaS,Horizontal,HR and Recruiting,Medium,www.inspirus.com,https://www.linkedin.com/company/inspirus/about/,"100 N. Rupert St., Fort Worth, 76107, US"
InsuredMine,Raution Jaiswal,1-10 employees,Angel or Seed Funding,Founded: 2017,B2B SaaS,Financial Services,Business Mgt and ERP,Startup,www.insuredmine.com,https://www.linkedin.com/company/insuredmine/about/,"200 Chisholm Pl, Plano TX 75075"
InsurTech Global,Joseph Sebbag,11-50 employees,Self-funded,Founded: 2016,B2B SaaS,Financial Services,Analytics and BI,Small,www.insurtechglobal.com,https://www.linkedin.com/company/insurtech-global/about/,"16990 Dallas Pkwy, 101, Dallas, Texas 75248, US"
Integrated International Payroll (iiPay),Bob Foster,51-200 employees,Other,Founded: 2003,B2B SaaS,Horizontal,Accounting and Finance,Medium,www.iipay.com,https://www.linkedin.com/company/iipay/about/,"12700 Park Central, Suite 1910, Dallas, Texas 75251 United States"
Intel,Pat Gelsinger,"10,001+ employees",Public,Founded: 1968,B2B SaaS,Horizontal,IT Mgt,Large,www.intel.com,https://www.linkedin.com/company/intel-corporation/about/,"5000 Quorum Dr, Suite 750, Dallas, TX 75254"
Intelligent Contacts,Jeff Mains,51-200 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,Communications,Medium,www.intelligentcontacts.com,https://www.linkedin.com/company/intelligent-contacts/about/,"5345 Towne Square Dr, Plano, Texas 75024"
IntelliMagic,Els Das,51-200 employees,Self-funded,Founded: 2002,B2B SaaS,Horizontal,IT Mgt,Medium,www.intellimagic.com,https://www.linkedin.com/company/intellimagic/about/,"549 Silicon Drive, Sutie 100, Southlake, TX 76092"
Intelliverse,David Godlewski,51-200 employees,Self-funded,Founded: 1984,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.intelliverse.com,https://www.linkedin.com/company/intelliverse/about/,"701 E Plano Parkway, Suite 200, Suite 408, Plano, Texas 75074"
Interface People,Gary Armvield,51-200 employees,Self-funded,Founded: 2002,B2B SaaS,Healthcare,Cloud and Software Dev Tools,Medium,www.ipeople.com,https://www.linkedin.com/company/interface-people-lp/about/,"405 State Hwy 121 Bypass, Suite A250, Lewisville, TX 75067"
InterGen Data,Robert Kirk,1-10 employees,Other,Founded: 2017,B2B SaaS,Financial Services,Analytics and BI,Startup,www.intergendata.com,https://www.linkedin.com/company/intergendata/about/,"5600 Tennyson Parkway, Suite 335, Plano, Texas 75093"
Internet of Things America,Dan Croft,11-50 employees,Self-funded,Founded: 2017,B2B SaaS,Agriculture,Analytics and BI,Small,www.iot-americas.com,https://www.linkedin.com/company/internet-of-things-america/about/,"6170 Research Rd, 140, Frisco, Texas 75033, US"
Interoperate,Null,11-50 employees,Self-funded,Founded: 2007,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,www.interoperate.biz,https://www.linkedin.com/company/interoperate/about/,"1221 W. Campbell Rd, Richardson, Texas 75080, US"
Intrameta,Richard Kolkovich,1-10 employees,VC-funded,Founded: 2003,B2B SaaS,Horizontal,Practice Management,Startup,intrameta.com,https://www.linkedin.com/company/intrameta/about/,"1475 Richardson Drive, Suite 210, Richardson, TX. 75080"
Intrusion,Gary Davis,51-200 employees,Public,Founded: 1983,B2B SaaS,Horizontal,Cybersecurity,Medium,www.intrusion.com,https://www.linkedin.com/company/intrusionshield/about/,"101 E Park Blvd, Plano, Texas 75074, US"
Intuit,Sasan Goodarzi,5001-10000 employees,Public,Founded: 1983,B2B SaaS,Horizontal,Accounting and Finance,Large,www.intuit.com,https://www.linkedin.com/company/intuit/about/,"5601 Headquarters Dr, Plano, TX 75024"
Inuvio,Dr. Dan Moulton,11-50 employees,Self-funded,Founded: 2002,B2B SaaS,Healthcare,Document Management,Small,inuvio.com,https://www.linkedin.com/company/inuvio/about/,"811 E Plano Pkwy Ste. 101 Plano, Texas 75074"
InVeris Training Solutions,Al Weggeman,201-500 employees,Self-funded,Founded: 1926,B2B SaaS,Horizontal,Virtual Reality,Medium,inveristraining.com,https://www.linkedin.com/company/inveris-training-solutions/about/,"8330 Lyndon B. Johnson Freeway #B1165 Dallas, TX 75243"
InZhood,Eytan Rothschild,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,"Entertainment, Hospitality, Travel",Cloud and Software Dev Tools,Startup,inzhood.com,https://www.linkedin.com/company/inveris-training-solutions/about/,"Dallas, TX"
IOOGO,Josh Alballero,11-50 employees,Angel or Seed Funding,Founded: 2017,B2B SaaS,Horizontal,Accounting and Finance,Small,www.ioogo.com,https://www.linkedin.com/company/ioogoinc/about/,"2626 Cole Avenue, Suite 300, Dallas, Texas 75204, US"
IPeople Healthcare,Gary Armvield,11-50 employees,Self-funded,Founded: 2002,B2B SaaS,Healthcare,Cloud and Software Dev Tools,Small,www.ipeople.com,https://www.linkedin.com/company/interface-people-lp/about/,"1760 S Stemmons Fwy, Suite 180, Lewisville, Texas 75067, US"
IPKeys Cyber Partners,Robert Nawy,51-200 employees,Self-funded,Founded: 1999,B2B SaaS,Horizontal,Compliance,Medium,ipkeyscyberpartners.com,https://www.linkedin.com/company/ipkeys-cyber-partners/about/,"5600 Tennyson Place, Suite 245 Plano Texas 75024"
IPKeys Power Partners,Robert Nawy,51-200 employees,Self-funded,Founded: 2005,B2B SaaS,Horizontal,Compliance,Medium,ipkeyspowerpartners.com,https://www.linkedin.com/company/ipkeys-power-partners/about/,"5600 Tennyson Place, Suite 245 Plano Texas 75024"
"iQ Decision Engine (Think Finance, TF Holdings)",Martin Wong,201-500 employees,Other,Founded: 2001,B2B SaaS,Financial Services,Analytics and BI,Medium,www.iqdecisionengine.com,https://www.linkedin.com/company/think-finance/about/,"5080 Spectrum Drive Suite 700W, Addison, TX 75001, US"
Irio,Russell Davis,11-50 employees,Self-funded,Founded: 2006,B2B SaaS,Horizontal,Sales and Marketing,Small,irio.com,https://www.linkedin.com/company/irio-mobile-marketing/about/,"8700 Stonebrook Pkwy, #2768 Frisco, TX 75034"
IRIS by Techradium,Ryan Rodkey,11-50 employees,Self-funded,Founded: 2000,B2B SaaS,Education,Communications,Small,useiris.com,https://www.linkedin.com/company/iris-by-techradium/about/,"Garland, TX"
Island,Michael Fey,51-200 employees,VC-funded,Founded: 2020,B2B SaaS,Horizontal,IT Mgt,Medium,www.island.io,https://www.linkedin.com/company/island-io/about/,"Dallas, tX"
ISN Software,Joe Eastin,501-1000 employees,Private Equity funding,Founded: 2001,B2B SaaS,Horizontal,Marketplace,Large,isnetworld.com,https://www.linkedin.com/company/isn/about/,"Dallas, TX"
Istation,Richard Collins,201-500 employees,Self-funded,Founded: 1998,B2B SaaS,Education,eLearning,Medium,www.istation.com,https://www.linkedin.com/company/istation/about/,"8150 N. Central Expressway, Suite 2000, Dallas, Texas 75206"
IT Blueprint by Symphion,Jim LaRoe,11-50 employees,Self-funded,Founded: 2007,B2B SaaS,Horizontal,Cybersecurity,Small,symphion.com,https://www.linkedin.com/company/symphion/about/,"5910 N. Central Expressway, Suite 700, Dallas, Texas 75206"
"ITBoost,  a ConnectWise company",Jason Magee,11-50 employees,Acquired,Founded: 2016,B2B SaaS,Horizontal,IT Mgt,Small,www.itboost.com,https://www.linkedin.com/company/itboost.com/about/,"311 N Market St, Dallas, TX 75202, US"
jookable,Terressa Nordstrom,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,"Entertainment, Hospitality, Travel",Sales and Marketing,Startup,www.jookable.com,https://www.linkedin.com/company/itboost.com/about/,"Fort Worth, TX"
Junction AI,Vance Reavie,11-50 employees,Other,Founded: 2015,B2B SaaS,Horizontal,Sales and Marketing,Small,www.junction.ai,https://www.linkedin.com/company/junctionai/about/,"3824 Cedar Springs Rd, #311, Dallas, Texas 75219"
K2View,Steve Kostyshen,51-200 employees,Self-funded,Founded: 2009,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.k2view.com,https://www.linkedin.com/company/k2view/about/,4100 Harry Hines Blvd. Dallas TX 75219
Kaikili App,Sreedhar Yerragunta,1-10 employees,Self-funded,Founded: 2023,B2B SaaS,Horizontal,Marketplace,Startup,kaikili.com,https://www.linkedin.com/company/kaikili-app/about/,"Dallas, TX"
KaiNexus,Gregory Jacobson,11-50 employees,Angel or Seed Funding,Founded: 2009,B2B SaaS,Horizontal,HR and Recruiting,Small,www.kainexus.com,https://www.linkedin.com/company/kainexus/about/,"4225 Wingren Dr.  Suite 115 Irving, TX 75062"
Kaizen Analytix,Krishna Arangode,51-200 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.kaizenanalytix.com,https://www.linkedin.com/company/kaizen-analytix/about/,"5151 Headquarters Drive, Suite 285, Plano, TX 75024"
Kanarys,Mandy Price,11-50 employees,VC-funded,Founded: 2018,B2B SaaS,Horizontal,HR and Recruiting,Small,www.kanarys.com,https://www.linkedin.com/company/kanarys/about/,"8350 North Central Expy, Ste 1900, Dallas, Texas 75206, US"
Katapult Pay,Orlando Zayas,51-200 employees,VC-funded,Founded: 2014,B2B SaaS,Horizontal,Point of Sale,Medium,www.katapult.com,https://www.linkedin.com/company/katapultpay/about/,"5204 Tennyson Pkwy, 500, Plano, TX 75024, US"
KeepTrax,Dayaka Puskoor,11-50 employees,VC-funded,Founded: 2013,B2B SaaS,Horizontal,HR and Recruiting,Small,www.keeptraxinc.com,https://www.linkedin.com/company/keeptrax/about/,"222 W. Las Colinas Blvd., Irving, TX 75039"
KEV Group,Bram Belzberg,51-200 employees,VC-funded,Founded: 1996,B2B SaaS,Education,Accounting and Finance,Medium,kevgroup.com,https://www.linkedin.com/company/kev-group/about/,"3000 S Hulen Street, Suite 124-562, Fort Worth, TX 76109"
KeyCast,Layne Fox,11-50 employees,Self-funded,Founded: 2019,B2B SaaS,Horizontal,Sales and Marketing,Small,keycast.ai,https://www.linkedin.com/company/keycast/about/,"3 Winding Lakes Dr. Dallas, TX 75230, Dallas, Texas 75230, US"
Keyready by Ideco,Stephen Kennedy,1-10 employees,Self-funded,Founded: 2018,B2B SaaS,Real Estate & Property Mgt.,Marketplace,Startup,www.keyready.app,https://www.linkedin.com/company/keyready/about/,"3309 Elm St #102, Dallas, TX 75226, US"
Kibo Commerce,David Post,201-500 employees,Acquired,Founded: 2016,B2B SaaS,Horizontal,Ecommerce,Medium,www.kibocommerce.com,https://www.linkedin.com/company/kibocommerce/about/,"717 N. Harwood Street. Ste. 1900, Dallas, TX 75201"
Kickbox,Brian Dayman,11-50 employees,Acquired,Founded: 2014,B2B SaaS,Horizontal,Sales and Marketing,Small,kickbox.com,https://www.linkedin.com/company/kickbox/about/,"2030 Main St, Suite 500, Dallas, Texas 75201"
KidKare by Minute Menu Systems,Kam Phillips-Sadler,11-50 employees,Private Equity funding,Founded: 1993,B2B SaaS,Education,Practice Management,Small,www.kidkare.com,https://www.linkedin.com/company/kidkare/about/,"819 W Arapaho Rd, Suite 24B #328, Richardson, Texas 75080, US"
Knomadix,Ramesh Balan,1-10 employees,Self-funded,Founded: 2014,B2B SaaS,Education,eLearning,Startup,www.knomadix.com,https://www.linkedin.com/company/knomadix-corp-/about/,"15303 Dallas Pkwy, Addison, TX 75001"
Knuula,Jamie Peebles,1-10 employees,Self-funded,Founded: 2018,B2B SaaS,Horizontal,Sales and Marketing,Startup,knuula.com,https://www.linkedin.com/company/knuula/about/,"6735 Salt Cedar Way, Building 1, Suite 300, Frisco, TX 75034"
Koddi,George Popstefanov,51-200 employees,Self-funded,Founded: 2013,B2B SaaS,"Entertainment, Hospitality, Travel",Sales and Marketing,Medium,koddi.com,https://www.linkedin.com/company/koddi/about/,"2821 W 7th St, #270, Fort Worth, TX 76107"
KoiReader,Ashutosh Prasad,51-200 employees,VC-funded,Founded: 2019,B2B SaaS,"Logistics, Supply Chain, Transportation",Analytics and BI,Medium,www.koireader.com,https://www.linkedin.com/company/koireader/about/,"539 W. Commerce #1255, Dallas, TX"
Kologik,Robert Wolf,51-200 employees,Angel or Seed Funding,Founded: 2015,B2G,Government,IT Mgt,Medium,www.kologik.com,https://www.linkedin.com/company/kologik/about/,"16415 Addison Road, Suite 303, Addison, TX 75001"
Kosmos,Adriana De Urquidi,1-10 employees,Self-funded,Founded: 2020,B2B SaaS,Horizontal,HR and Recruiting,Startup,www.kosmosway.com,https://www.linkedin.com/company/kosmos-way/about/,"6116 N US 75- Central Expy, Suite 700 Dallas, TX 75206"
Krista Software,John Michelsen,51-200 employees,Angel or Seed Funding,Founded: 2020,B2B SaaS,Horizontal,Analytics and BI,Medium,kristasoft.com,https://www.linkedin.com/company/krista-software/about/,"2633 McKinney Ave. Dallas, Texas 75204"
KUBRA,Rick Watkin,201-500 employees,Acquired,Founded: 1992,B2B SaaS,Horizontal,Sales and Marketing,Medium,kubra.com,https://www.linkedin.com/company/kubra-data-transfer/about/,"955 Freeport Parkway, Suite 200, Coppell, Texas 75019, US"
Kudelski Security,Andrew Howard,201-500 employees,Self-funded,Founded: 2012,B2B SaaS,Horizontal,Cybersecurity,Medium,www.kudelskisecurity.com,https://www.linkedin.com/company/kudelski-security/about/,"130 E John Carpenter Fwy, Suite 300, Irving, Texas 75062, US"
Kvantum,Shilpi Sharma,11-50 employees,Acquired,Founded: 2012,B2B SaaS,Horizontal,Sales and Marketing,Small,www.kvantum.ai,https://www.linkedin.com/company/kvantum-inc-/about/,"1400 Preston Rd, Plano, Texas 75093"
L7 Informatics,Vasu Rangadass,51-200 employees,VC-funded,Founded: 2012,B2B SaaS,Healthcare,Business Mgt and ERP,Medium,www.l7informatics.com,https://www.linkedin.com/company/l7informatics/about/,"8333 Douglas Ave, Dallas, Texas US"
LaborIQ by ThinkWhy,Ronald G. Johnsey,11-50 employees,Angel or Seed Funding,Founded: 2018,B2B SaaS,Horizontal,HR and Recruiting,Small,www.thinkwhy.com,https://www.linkedin.com/company/thinkwhy-llc/about/,"3800 Maple Avenue, Suite 530, Dallas, TX 75219"
MapRight,Steve Roberson,1-10 employees,Self-funded,Founded: 2014,B2B SaaS,Horizontal,On-Demand Services,Startup,id.land,https://www.linkedin.com/company/landidofficial/about/,"325 N. St. Paul, Ste. 3350, Dallas, TX 75201, US"
Language Computer,David Bracewell,11-50 employees,Self-funded,Founded: 1995,B2B SaaS,Horizontal,Analytics and BI,Small,www.languagecomputer.com,https://www.linkedin.com/company/language-computer-corporation/about/,"2435 N. Central Expressway, Suite 1200, Richardson, Texas 75080"
Language Learning Market,Allison Monroe,11-50 employees,Angel or Seed Funding,Founded: 2019,B2B SaaS,Education,Marketplace,Small,languagelearningmarket.com,https://www.linkedin.com/company/language-learning-marketplace/about/,"550 N. Central Expy #962, Mckinney, TX 75070, US"
Lantern Pharma,Panna Sharma,11-50 employees,Public,Founded: 2013,B2B SaaS,Healthcare,Analytics and BI,Small,www.lanternpharma.com,https://www.linkedin.com/company/lanternpharma/about/,"1920 McKinney Ave, Dallas, TX 75201, US"
LaunchPad Media Management,Kelley Sparkman,11-50 employees,Self-funded,Founded: 2004,B2B SaaS,Horizontal,Sales and Marketing,Small,www.launchpadmediamanagement.com,https://www.linkedin.com/company/media-intranets-lp/about/,"100 Crescent Court, Ste 700, Dallas, TX 75201, US"
Lavabit,Ladar Levison,1-10 employees,Angel or Seed Funding,Founded: 2004,B2B SaaS,Horizontal,IT Mgt,Startup,lavabit.com,https://www.linkedin.com/company/lavabit/about/,"Dallas, Texas"
Lead Liaison,Ryan Schefke,11-50 employees,Self-funded,Founded: 2008,B2B SaaS,Horizontal,Sales and Marketing,Small,www.leadliaison.com,https://www.linkedin.com/company/lead-liaison/about/,"13101 Preston Rd Ste 110 – 159, Dallas, Texas 75240, US"
Leadr,Matt Tresidder,51-200 employees,VC-funded,Founded: 2018,B2B SaaS,Horizontal,HR and Recruiting,Medium,www.leadr.com,https://www.linkedin.com/company/leadr-inc/about/,"5360 Legacy Dr, Suite 180,  Plano, TX 75024"
Leap Metrics,Srini Gorty,11-50 employees,Self-funded,Founded: 2016,B2B SaaS,Healthcare,Analytics and BI,Small,www.leapmetrics.io,https://www.linkedin.com/company/leap-metrics/about/,"49 Dunrobin, Richardson, TX 75082"
LexisNexis Risk Solutions,Tim Bingham,1001-5000 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Analytics and BI,Large,risk.lexisnexis.com,https://www.linkedin.com/company/lexisnexis-risk-solutions/about/,"1101 Central Expy S, Suite 205, Allen, Texas 75013, US"
Liberty Software,Jeremy Manchester,51-200 employees,Self-funded,Founded: 2001,B2B SaaS,Healthcare,Practice Management,Medium,libertysoftware.com,https://www.linkedin.com/company/liberty-software/about/,"3205 East Southlake Blvd, Southlake, TX 76092"
Life Style Plan,Nader Yassa,1-10 employees,Self-funded,Founded: 2017,B2B SaaS,Financial Services,Practice Management,Startup,lifestyleplan.com,https://www.linkedin.com/company/lifestyleplan/about/,"Plano, TX"
Lightbeam Health,Patrick Cline,51-200 employees,VC-funded,Founded: 2013,B2B SaaS,Healthcare,Practice Management,Medium,lightbeamhealth.com,https://www.linkedin.com/company/lightbeam-health-solutions/about/,"222 W Las Colinas Blvd., Suite 2200N, Irving, TX 75039"
